04/30-13:58:47.516811 [**] [1:1000001:1] ICMP Ping detected [**] [Classification: drop] [Priority: 1] [Action: alert] [Reason: logged because alert/pass rule matched] {ICMP} 10.100.0.10:0 -> 10.100.0.20:0
04/30-13:58:47.516811 [**] [1:1000005:1] Block all ICMP [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {ICMP} 10.100.0.10:0 -> 10.100.0.20:0
04/30-13:58:47.517048 [**] [1:1000005:1] Block all ICMP [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {ICMP} 10.100.0.10:0 -> 10.100.0.20:0
04/30-13:58:47.552340 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:52716 -> 10.100.0.20:2
04/30-13:58:47.554896 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:52716 -> 10.100.0.20:38
04/30-13:58:47.557403 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:52716 -> 10.100.0.20:19
04/30-13:58:47.557832 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:52716 -> 10.100.0.20:12
04/30-13:58:47.558525 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:52716 -> 10.100.0.20:65
04/30-13:58:47.559141 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:52716 -> 10.100.0.20:5
04/30-13:58:47.561996 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:52716 -> 10.100.0.20:18
04/30-13:58:47.562657 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:52716 -> 10.100.0.20:31
04/30-13:58:47.563136 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:52716 -> 10.100.0.20:56
04/30-13:58:47.563490 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:52716 -> 10.100.0.20:52
04/30-13:58:48.653720 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:52717 -> 10.100.0.20:38
04/30-13:59:23.826672 [**] [1:1000001:1] ICMP Ping detected [**] [Classification: drop] [Priority: 1] [Action: alert] [Reason: logged because alert/pass rule matched] {ICMP} 10.100.0.10:0 -> 10.100.0.20:0
04/30-13:59:23.826672 [**] [1:1000005:1] Block all ICMP [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {ICMP} 10.100.0.10:0 -> 10.100.0.20:0
04/30-13:59:23.826855 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39009 -> 10.100.0.20:443
04/30-13:59:23.827075 [**] [1:1000005:1] Block all ICMP [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {ICMP} 10.100.0.10:0 -> 10.100.0.20:0
04/30-13:59:23.857137 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39265 -> 10.100.0.20:53
04/30-13:59:23.857266 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39265 -> 10.100.0.20:80
04/30-13:59:23.857317 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39265 -> 10.100.0.20:21
04/30-13:59:23.857377 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39265 -> 10.100.0.20:22
04/30-13:59:23.857398 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39265 -> 10.100.0.20:23
04/30-13:59:23.857417 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39265 -> 10.100.0.20:25
04/30-13:59:23.857435 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39265 -> 10.100.0.20:60
04/30-13:59:23.857452 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39265 -> 10.100.0.20:88
04/30-13:59:23.857469 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39265 -> 10.100.0.20:48
04/30-13:59:23.857484 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39265 -> 10.100.0.20:2
04/30-13:59:24.958398 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39266 -> 10.100.0.20:2
04/30-13:59:24.958513 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39266 -> 10.100.0.20:48
04/30-13:59:24.958561 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39266 -> 10.100.0.20:88
04/30-13:59:24.958611 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39266 -> 10.100.0.20:60
04/30-13:59:24.958658 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39266 -> 10.100.0.20:25
04/30-13:59:24.958702 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39266 -> 10.100.0.20:23
04/30-13:59:24.958746 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39266 -> 10.100.0.20:22
04/30-13:59:24.958806 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39266 -> 10.100.0.20:21
04/30-13:59:24.958863 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39266 -> 10.100.0.20:80
04/30-13:59:24.958917 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39266 -> 10.100.0.20:53
04/30-13:59:25.058461 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39265 -> 10.100.0.20:29
04/30-13:59:25.060852 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39265 -> 10.100.0.20:52
04/30-13:59:25.060965 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39265 -> 10.100.0.20:26
04/30-13:59:25.060988 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39265 -> 10.100.0.20:70
04/30-13:59:25.061011 [**] [1:1000002:1] Nmap SYN scan detected [**] [Classification: drop] [Priority: 1] [Action: drop] [Reason: blocked because drop rule matched] {TCP} 10.100.0.10:39265 -> 10.100.0.20:56
